2019-09-26T08:41:54.187393369Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:41:54.187325Z"}
2019-09-26T08:42:12.458171063Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:42:12.458100Z"}
2019-09-26T08:42:24.189045508Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:42:24.188947Z"}
2019-09-26T08:42:42.458816442Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:42:42.458739Z"}
2019-09-26T08:42:54.189655317Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:42:54.189584Z"}
2019-09-26T08:43:12.46054537Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:43:12.460476Z"}
2019-09-26T08:43:24.190249133Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:43:24.190176Z"}
2019-09-26T08:43:42.459759601Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:43:42.459668Z"}
2019-09-26T08:43:54.189958713Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:43:54.189869Z"}
2019-09-26T08:44:12.474331955Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:44:12.474228Z"}
2019-09-26T08:44:24.187699878Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:44:24.187628Z"}
2019-09-26T08:44:42.459895998Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:44:42.459816Z"}
2019-09-26T08:44:54.188057882Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:44:54.187969Z"}
2019-09-26T08:45:12.459240723Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:45:12.459160Z"}
2019-09-26T08:45:24.185948204Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:45:24.185845Z"}
2019-09-26T08:45:42.465254435Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:45:42.465179Z"}
2019-09-26T08:45:54.194252728Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:45:54.194181Z"}
2019-09-26T08:46:12.460639043Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:46:12.460558Z"}
2019-09-26T08:46:24.190039299Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:46:24.189940Z"}
2019-09-26T08:46:42.459763091Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:46:42.459666Z"}
2019-09-26T08:46:54.187785766Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:46:54.187694Z"}
2019-09-26T08:47:12.461605537Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:47:12.461484Z"}
2019-09-26T08:47:24.187317572Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:47:24.187189Z"}
2019-09-26T08:47:42.458816592Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:47:42.458707Z"}
2019-09-26T08:47:54.187762804Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:47:54.187682Z"}
2019-09-26T08:48:12.460989151Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:48:12.460463Z"}
2019-09-26T08:48:24.187048218Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:48:24.186888Z"}
2019-09-26T08:48:42.461015502Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:48:42.460931Z"}
2019-09-26T08:48:54.187106859Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:48:54.187013Z"}
2019-09-26T08:49:12.459329378Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:49:12.459236Z"}
2019-09-26T08:49:24.191108574Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:49:24.191025Z"}
2019-09-26T08:49:42.456107551Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:49:42.455968Z"}
2019-09-26T08:49:54.186754134Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:49:54.186672Z"}
2019-09-26T08:50:12.457373643Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:50:12.457272Z"}
2019-09-26T08:50:24.189420529Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:50:24.189304Z"}
2019-09-26T08:50:42.456580146Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:50:42.456511Z"}
2019-09-26T08:50:54.197010498Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:50:54.196899Z"}
2019-09-26T08:51:12.457037958Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:51:12.456960Z"}
2019-09-26T08:51:24.185956562Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:51:24.185376Z"}
2019-09-26T08:51:42.455974731Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:51:42.455886Z"}
2019-09-26T08:51:54.185291627Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:51:54.185216Z"}
2019-09-26T08:52:12.455657597Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:52:12.455548Z"}
2019-09-26T08:52:24.184957101Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:52:24.184289Z"}
2019-09-26T08:52:42.456392626Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:52:42.456302Z"}
2019-09-26T08:52:54.185030555Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:52:54.184938Z"}
2019-09-26T08:53:12.457749219Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:53:12.457667Z"}
2019-09-26T08:53:24.183773352Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:53:24.183683Z"}
2019-09-26T08:53:42.456129533Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:53:42.456012Z"}
2019-09-26T08:53:54.18331189Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:53:54.183020Z"}
2019-09-26T08:54:12.457293149Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:54:12.457199Z"}
2019-09-26T08:54:24.184567196Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:54:24.184496Z"}
2019-09-26T08:54:42.456395594Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:54:42.456310Z"}
2019-09-26T08:54:54.185432682Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:54:54.185357Z"}
2019-09-26T08:55:12.46972247Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:55:12.469639Z"}
2019-09-26T08:55:24.184579215Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:55:24.184492Z"}
2019-09-26T08:55:42.457083056Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:55:42.456995Z"}
2019-09-26T08:55:54.185404977Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:55:54.185314Z"}
2019-09-26T08:56:12.457486834Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:56:12.457398Z"}
2019-09-26T08:56:24.190237389Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:56:24.190148Z"}
2019-09-26T08:56:42.455989892Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:56:42.455481Z"}
2019-09-26T08:56:54.188549713Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:56:54.188451Z"}
2019-09-26T08:57:12.455648534Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:57:12.455569Z"}
2019-09-26T08:57:24.18916713Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:57:24.189092Z"}
2019-09-26T08:57:42.465245764Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:57:42.465148Z"}
2019-09-26T08:57:54.18706054Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:57:54.186949Z"}
2019-09-26T08:58:12.461486959Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:58:12.461393Z"}
2019-09-26T08:58:24.189741363Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:58:24.189660Z"}
2019-09-26T08:58:42.455062908Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:58:42.454945Z"}
2019-09-26T08:58:54.187650536Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:58:54.187545Z"}
2019-09-26T08:59:12.466673774Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:59:12.466526Z"}
2019-09-26T08:59:24.188321177Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:59:24.188179Z"}
2019-09-26T08:59:42.455958471Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:59:42.455232Z"}
2019-09-26T08:59:54.186004627Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T08:59:54.185630Z"}
2019-09-26T09:00:12.46305226Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:00:12.462971Z"}
2019-09-26T09:00:24.188108746Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:00:24.187572Z"}
